code_circo,code_dpt,candidat,genre,LE PEN
02_3,2,Paul-Henry HANSEN-CATTA,H,0.3997819475526482
62_3,62,José EVRARD,H,0.399403435164547
62_10,62,Ludovic PAJOT,H,0.3977790518724162
59_19,59,Sébastien CHENU,H,0.39359260009452435
52_2,52,Frédéric FABRE,H,0.39251373626373626
59_20,59,Ludovic de DANNE,H,0.3758966007138154
13_12,13,Jean-Lin Lacapelle,H,0.37292930430254323
59_16,59,Hortense de MÉREUIL,F,0.37057996087244743
80_5,80,Loïc GRIMAUX,H,0.36670440963703843
59_3,59,Sylvie GODDYN,F,0.3643524482151054
59_12,59,Gérard PHILIPPE,H,0.3602151298563442
62_7,62,Philippe OLIVIER,H,0.3587637274607475
59_18,59,Mélanie DISDIER,F,0.3562692017854037
02_4,2,Jean MESSIHA,H,0.3550762667388986
51_5,51,Thomas LAVAL,H,0.35203507799638134
62_1,62,Agnès CAUDRON,F,0.35121420375912277
60_2,60,Gaëtan DUSSAUSAYE,H,0.35006691534497
60_1,60,Claire MARAIS-BEUIL,F,0.3469023803985423
66_2,66,Louis ALIOT,H,0.3420194133219242
84_4,84,Catherine CANDELA,F,0.33764156467345513
57_4,57,Marie-Amélie DUTHEIL DE LA ROCHÈRE,F,0.33710569919029604
57_6,57,Florian PHILIPPOT,H,0.33678093186759595
57_7,57,Kevin PFEFFER,H,0.3359662903202126
80_3,80,Patricia CHAGNON,F,0.33328345030902534
83_6,83,Jérôme RIVIÈRE,H,0.3326849294457759
62_6,62,Marie-Christine BOURGEOIS,F,0.3318593615185505
88_2,88,Isabelle GÉRARD,F,0.33103828636493027
59_13,59,Philippe EYMERY,H,0.32971637301246237
80_4,80,Eric RICHERMOZ,H,0.32944139872573713
70_2,70,Maurice MONNIER,H,0.32942940798400344
67_8,67,Gérard JANUS,H,0.3293397701774665
62_8,62,Karine Haverlant,F,0.32933864096654797
59_17,59,Thibaut FRANÇOIS,H,0.32887299781497736
83_8,83,Pierre JUGY,H,0.32795233860061646
987_1,987,Eric MINARDI,H,0.3272357022055017
08_3,8,Amandine Blomme,F,0.32705440212658693
57_5,57,Pascal Jenft,H,0.3269628006394482
77_4,77,Pierre-Charles CHERRIER,H,0.3269485288770598
59_14,59,Jean-Paul Tisserand,H,0.32616221878712776
02_2,2,Sylvie SAILLARD-MEUNIER,F,0.3261549395877754
13_16,13,Valérie LAUPIES,F,0.3252203525641026
55_1,55,Corinne KAUFMANN,F,0.32434965632913476
68_4,68,Alain FAVALETTO,H,0.323573845404717
08_1,8,Sophie Lorenzo,F,0.3227451397004143
55_2,55,Eric VILAIN,H,0.3217970625770587
54_4,54,Dominique BILDE,F,0.3192667033053309
67_7,67,Virginie JORON,F,0.318645323847636
62_9,62,Jacques DELAIRE,H,0.3176459140813778
60_7,60,Philippe LAMBILLIOTTE,H,0.31427889288698646
83_4,83,Philippe Lottiaux,H,0.3133382783905055
76_6,76,Françoise DUCHAUSSOY,F,0.3133189680274882
54_5,54,Billy WINKENS,H,0.31312985660498277
83_2,83,Rachel ROUSSEL,F,0.313111431862252
89_3,89,Julien ODOUL,F,0.3108045703049353
30_4,30,Brigitte ROULLAUD,F,0.3077169165716193
60_6,60,Michel GUINIOT,H,0.30595314996770134
59_21,59,Valérie CAUDRON,F,0.30342347716577184
54_6,54,Cédric Marsolle,H,0.30200989161317476
88_4,88,Jordan Grosse-Cruciani,H,0.30139728168665053
84_2,84,Thibaut de LA TOCNAYE,H,0.30130157431398397
27_5,27,Vincent TAILLIEU,H,0.300836820083682
60_5,60,François GACHIGNARD,H,0.29968566303788025
45_4,45,Ludovic Marchetti,H,0.29961089494163423
11_2,11,Jean-François Daraud,H,0.29825983172970666
59_15,59,Christine ENGRAND,H,0.2981473728281348
06_2,6,Jérôme Cochet,H,0.2979259170962839
70_1,70,Léonie CUGNOT,F,0.297639086710691
76_10,76,Stacy BLONDEL,F,0.2967245136450371
60_3,60,Philippe MURER,H,0.2958112369213129
10_2,10,Jean-Christophe LEFÈVRE,H,0.29551968880092816
66_4,66,Stéphane MASSANELL,H,0.29547592236868253
51_3,51,Baptiste PHILIPPO,H,0.2933179760881203
89_2,89,Edwige JACQUET,F,0.2921627927071632
82_2,82,Romain LOPEZ,H,0.29057633649060843
11_1,11,Christophe Barthès,H,0.2901180527921475
974_3,974,Jean-Hugues LEBIAN,H,0.2896290541852787
62_5,62,Antoine GOLLIOT,H,0.2889828253865027
80_1,80,Franck de LAPERSONNE,H,0.2880717687451545
76_9,76,Geneviève SALVISBERG,F,0.2859370045449741
83_7,83,Frédéric Boccaletti,H,0.2857451953671885
2A_1,2A,Francis Nadizi,H,0.28455213179995903
51_4,51,Thierry BESSON,H,0.2837198492670861
41_2,41,Mathilde Paris,F,0.282987368885249
67_9,67,Laurent Gnaedig,H,0.28298122878714416
38_10,38,Alain BREUIL,H,0.28275060234213034
25_3,25,Loup VIALLET,H,0.2826917308269173
68_6,68,Sylvain Marcelli,H,0.28256904637832203
45_5,45,Jeanne BEAULIER,H,0.28254742919989
84_5,84,Hervé de LÉPINAU,H,0.28235221159361873
57_8,57,Hervé HOFF,H,0.28191209674924994
52_1,52,Fabienne Cudel,F,0.28181850737716657
67_5,67,Eliane KLEIN,F,0.28177615362919545
71_4,71,Nathalie Szych,F,0.2810427369459068
976_2,976,Madi BOINALI ANLI,F,0.2804709524072743
66_1,66,Claudine FUENTES,F,0.27896858283733894
76_5,76,Bénédicte LE MOËL,F,0.2785540904021518
83_3,83,Aline RENCK-GUIGUE,F,0.2773638606033774
59_5,59,Victor CATTEAU,H,0.2766353719259569
66_3,66,Sandrine DOGOR,F,0.2755298347420209
77_6,77,Béatrice ROULLAUD,F,0.2753902358020591
974_5,974,Marie-Luce BRASIER-CLAIN,F,0.27477261847774054
67_6,67,Hombeline DU PARC,F,0.2739624440501099
01_4,1,Blanche Chaussat,F,0.2728536718958471
62_4,62,Marie-Annick DUPAS,F,0.2720440881763527
06_9,6,Nathalie Pavard,F,0.27174332582824057
42_4,42,Raphaëlle Jeanson,F,0.2699774093502316
68_3,68,Katia Di Leonardo,F,0.2699381012752629
88_1,88,Sébastien HUMBERT,H,0.2697070167129034
01_5,1,Pénélope CHALON,F,0.2696902770290246
86_4,86,Alain Verdin,H,0.2694109949958446
61_2,61,Francine LAVANRY,F,0.26899005327273406
45_3,45,Charles de Gevigney,H,0.26896515087122824
59_10,59,Virginie ROSEZ,F,0.2686673131537023
974_6,974,Élodie MARTIN CHARRON,F,0.2677610466551469
06_8,6,Anne KESSLER,F,0.26765286312513037
47_2,47,Hélène PAIN,F,0.26528753146945805
68_2,68,Grégory STICH,H,0.2640762825973455
54_3,54,Céline DOLCEMASCOLO,F,0.2640602413688775
976_1,976,Sandi FAOULATI,H,0.2637534139680062
77_5,77,Joffrey BOLLÉE,H,0.26352541046516875
88_3,88,Marina Do Santos,F,0.2622247143216226
39_3,39,Stéphane Montrelay,H,0.26157635467980295
18_3,18,Jordan LE GOÏC,H,0.2596061734965407
57_1,57,Laurence BURG,F,0.25945398205395565
68_1,68,Marie-Hélène de LACOSTE-LAREYMONDIE,F,0.2590560960463672
77_3,77,Aymeric Durox,H,0.25860142228242466
01_2,1,Anne Michaud,F,0.25842741719728185
17_4,17,Isabelle TEXIER,F,0.25679008825332555
71_3,71,Quentin BIJARD,H,0.2545448791987722
83_1,83,Amaury Navarranne,H,0.25450960882943635
01_1,1,Jérôme Buisson,H,0.2542764678687009
90_2,90,Jean-Raphaël SANDRI,H,0.2541646834840552
58_2,58,Harold BLANOT,H,0.25336716156111005
07_1,7,Céline Porquet,F,0.2527098274224711
42_5,42,Sarah Brosset,F,0.25211883083355374
60_4,60,Mylène TROSZCZYNSKI,F,0.2504763200870985
59_8,59,Astrid Leplat,F,0.249830799079547
89_1,89,Ludovic VIGREUX,H,0.24966839604425864
47_3,47,Etienne BOUSQUET-CASSAGNE,H,0.24654962451796225
49_3,49,Patrice LANCIEN,H,0.2465126996224676
73_3,73,Marie DAUCHY,F,0.2441356562626103
91_2,91,Valérie GIRARD,F,0.24359614105123087
77_7,77,Frédérique TROUSSARD,H,0.24343131373725255
82_1,82,Thierry VIALLON,H,0.24236326037777747
62_2,62,Alban Heusèle,H,0.2414937267623576
58_1,58,Pauline VIGNERON,F,0.24109826385205615
973_1,973,René TRAN VAN NGHIA,H,0.24108491113950517
47_1,47,Catherine LESNE,F,0.240572978275295
69_9,69,Christophe Boudot,H,0.24041398741857642
72_3,72,Pascal GANNAT,H,0.2403403931218326
69_13,69,Sandrine LIGOUT,F,0.23836633663366336
51_1,51,Sandrine VIGNOT,F,0.2382605517997442
76_8,76,Damien Lenoir,H,0.23764238466577908
71_5,71,Lilian Noirot,H,0.2363712587402117
81_3,81,Virginie CALLEJON,F,0.23566046721781925
69_11,69,Antoine MELLIES,H,0.2339845964519296
71_2,71,Antoine Chudzik,H,0.23386871852082752
39_1,39,Jean-Paul ECARD,H,0.2312265635625328
16_3,16,Aurelie De Azevedo,F,0.23111362191935597
57_2,57,Marie-Claude VOINÇON,F,0.23061871201232922
61_3,61,Katia FRÉMONT,F,0.23004266226584033
57_9,57,Lionel BIEDER,H,0.2290235297238507
07_2,7,Odile Lasfargues-Bouyon,F,0.22898597496201273
57_3,57,Françoise GROLET,F,0.22792199726742018
86_3,86,Delphine Jumeau,F,0.22713741779162339
51_2,51,Cindy Demange,F,0.22692087155963303
59_6,59,Eric CATTELIN,H,0.22673265973010295
95_9,95,Mikael SALA,H,0.2266061799876639
31_5,31,Julien Leonardelli,F,0.2257777558130915
59_11,59,Nathalie ACS,F,0.22541601416716672
63_5,63,Jérôme Jayet,H,0.2247849537066276
73_1,73,Jean-Pierre CHAUVEAU,H,0.22246628747654307
03_1,3,Michèle CIUCH,F,0.22208368370690404
74_3,74,Nathalie GENAND,F,0.22179425203112574
95_1,95,Denise CORNET,F,0.22162454594636372
73_2,73,Jean-Marie GARCIN,H,0.22042760262980793
49_4,49,Aymeric MERLAUD,H,0.21985200986600895
974_4,974,Johan DELPLANQUE,H,0.21916119737473988
50_3,50,Carmen MASSON,F,0.2191443343087475
50_1,50,Franck SIMON,H,0.21804998990976446
81_2,81,Doriane ALBARAO,F,0.2179930795847751
81_1,81,Frédéric Cabrolier,H,0.21796059908522913
78_8,78,François SIMEONI,H,0.21779045166038083
03_2,3,Elisabeth CAMUS,F,0.21723865253835206
61_1,61,Raymond Herbreteau,H,0.21634303039052913
37_2,37,Stanislas de La Ruffie,H,0.21405360366615747
67_4,67,Thibault MANTEAUX,H,0.2137022815143238
07_3,7,Thierry Arsac,H,0.21295755451713397
76_2,76,Gilles PATITUCCI,H,0.21295705713132787
56_3,56,Sylvie BAUD,F,0.21255961632989254
85_5,85,Gérald OBERWEIS,H,0.21247533536258928
56_4,56,Agnès RICHARD,F,0.21242041902998032
72_5,72,Eric de VILMAREST,H,0.21210181818181817
77_2,77,Marie Garcia,F,0.21147852770541323
77_9,77,Pascal Fiandrin,H,0.2111328747779347
69_14,69,Damien MONCHAU,H,0.2109986977862366
72_2,72,Pascal NICOT,H,0.21073339628580423
78_9,78,Emmanuel NORBERT-COUADE,H,0.2104515446112705
76_3,76,Guillaume PENNELLE,H,0.20959779572155676
68_5,68,Christelle RITZ,F,0.2095584360838866
974_1,974,Jean-Pierre Céleste,H,0.20920466595970308
45_2,45,Nadine BOISGERAULT,F,0.20864374763883642
14_4,14,Philippe FOUCHE SAILLENFEST,H,0.207740191458757
71_1,71,Nicole CABOCHE,F,0.20411180987333202
37_5,37,Daniel Fraczak,H,0.2037133077481589
09_1,9,Laurence LEFORT,F,0.20304715302491103
79_3,79,Lucie CHAUMERON,F,0.2020016705447169
45_6,45,Myriam BACHIR,F,0.2019291146305728
69_8,69,Pierre TERRAIL,H,0.20139497561878897
37_4,37,Véronique Péan,F,0.20134059137151733
59_7,59,Françoise COOLZAET,H,0.201274746146541
974_7,974,Corinne SUZANNE,F,0.20123614806830814
42_1,42,Philippe Clause,H,0.20071499421391967
85_3,85,Corinne Fillet,F,0.2001004036637092
74_6,74,Karam Aoun,H,0.19910529704815808
23_1,23,Martial MAUME,H,0.19880144054888899
974_2,974,Marie-Line HOARAU,F,0.19863315234481457
79_2,79,Jean-Romée CHARBONNEAU,H,0.19828977509371096
77_1,77,Stéfanie CONIGLIO,F,0.19789417362557565
63_2,63,Stanislas Chavelet,H,0.19781065346477156
91_3,91,François HÉLIE,H,0.19694496268656717
91_3,91,François Helie,H,0.19694496268656717
40_1,40,Christophe Bardin,H,0.19661105773429993
13_5,13,Jean-François LUC,H,0.1959751847738674
26_1,26,Bernard SIRONNEAU,H,0.19590112422316877
44_6,44,Brigitte NEDELEC,F,0.19560501006486244
38_5,38,Muriel BURGAZ,F,0.19501139403547013
76_7,76,Stéphanie FERRAND,F,0.19326410916272668
65_2,65,Olivier Monteil,H,0.19226706106063807
74_5,74,Anne-Françoise Abadie Parisi,F,0.1921470458065944
50_4,50,Jean-Jacques NOËL,H,0.19185007626933973
93_12,93,Jordan BARDELLA,H,0.19177045493859193
13_14,13,Nathalie CHEVILLARD,F,0.18985127992538087
50_2,50,Marie-Françoise KURDZIEL,F,0.18943781942078364
35_4,35,Christian LECHEVALIER,H,0.18941679741454454
48_1,48,Emmanuel GERSTNER,H,0.18894219785241032
80_2,80,Nicolas VERSAEN,H,0.1888027062119866
33_8,33,Laurent Lamara,H,0.1887938428727079
56_6,56,Yvan CHICHERY,H,0.18819678417837674
53_3,53,Monique MORAND,F,0.18811286084731502
95_2,95,Stéphane CAPDET,H,0.18806449454740082
74_4,74,Wenceslas LIARD,H,0.18667391200115072
01_3,1,Gaëtan Noblet,H,0.18626188072276573
32_1,32,Nathalie PIERREISNARD,F,0.18618409026704555
85_2,85,Gabriel de Chabot,H,0.18593286680109122
87_3,87,Vincent GÉRARD,H,0.18449473862603416
87_2,87,Joëlle Crepet,F,0.1843052277212398
44_9,44,Jean-Luc JAVEL,H,0.18405470254461573
77_11,77,Jean-Marie LAUNAY,H,0.18253419081732336
73_4,73,Isabelle FÉTU,F,0.18085988802101335
59_2,59,Véronique DESCAMPS,F,0.18013543321661601
16_1,16,Geoffray Gourré,H,0.17948758376034687
85_1,85,Catherine ROY,F,0.17930734579189153
65_1,65,Geneviève COMONT,F,0.1791497680389811
95_3,95,Fabienne DAUMAS,F,0.17908283232192387
59_4,59,Julien FRANQUET,F,0.1772583077643143
87_1,87,Nathalie GÉRARD,F,0.17692261056715874
69_10,69,Agnès MARION,F,0.17672761320190383
13_2,13,Caroline SICARD,F,0.17654251468103935
74_1,74,Brigitte THIERY-AUDUBERT,F,0.17639092512983626
72_1,72,Marie GENEVREY,F,0.1760727410755879
22_4,22,Catherine BLEIN,F,0.17436550588673852
69_7,69,Jean-Marie NICOLAS,H,0.17420965416316955
31_6,31,Michèle PELLIZZON,F,0.17404966612839873
22_2,22,Odile de MELLON,F,0.17325954264631233
14_2,14,Sabrina Joret,F,0.17298243632461738
91_7,91,Audrey GUIBERT,F,0.1724408886349025
46_1,46,Emmanuel CRENNE,H,0.1720945639666655
63_4,63,Sylwia Powarunas,F,0.1716219889459855
91_4,91,Franck BEELDENS-DA SILVA,H,0.16975719960908248
54_1,54,Barbara HOFFMANN,F,0.169697067823778
56_2,56,Eric FORDOS,H,0.16889835666463784
91_10,91,Lucie DEDI,F,0.16889595677936564
42_2,42,Pascal Arrighi,H,0.1686131386861314
94_3,94,Dominique BOURSE-PROVENCE,H,0.16855061083617903
86_1,86,Arnaud Fage,H,0.16765935467209014
29_8,29,Mikaël Caréo,H,0.16720641363328873
64_3,64,Lucinda CARVALHO,F,0.16680361544782252
91_9,91,Thiebauld VEGA,H,0.16646448962427418
77_8,77,Aurélie COURNET,F,0.16542777602387854
49_6,49,Bernadette de LA BOURDONNAYE,F,0.1645442746816412
93_5,93,Jean-François PERIER,H,0.16423366215994564
44_8,44,Gauthier Bouchet,H,0.16397059919788887
74_2,74,Vincent Lecaillon,H,0.16236147598917144
49_7,49,Aurore LAHONDÈS,F,0.16123901609398128
53_1,53,Bruno de LA MORINIÈRE,H,0.1607495741056218
44_7,44,Doris NOËL,F,0.16012749147064104
91_1,91,Danielle OGER,F,0.15957363583023665
53_2,53,Sylviane DEGÉ,F,0.15916020284039747
77_10,77,Véronique Fornilli Rata,F,0.15859741296179297
93_8,93,Alexandra BOURGOIN,F,0.15825116361149713
45_1,45,Colette Poltaratsky,F,0.1576967881511067
67_2,67,Julia Abraham,F,0.15685531971294947
78_7,78,Victoria KOSTIAEVA,F,0.15616329766151407
64_2,64,Joseph DAMOUR,H,0.15508885298869143
59_1,59,Eric DILLIES,H,0.15464333781965006
63_1,63,Anne BISCOS,F,0.15462179424828973
95_7,95,Bruno MARCEL,H,0.15265419423530308
31_9,31,Éloïse Teriitaumihau,F,0.15159613713498712
95_10,95,Suzanne KREBS,F,0.15140589751853045
93_4,93,Gilles CLAVEL,H,0.15107195872776386
95_5,95,Pierre RENUCCI,H,0.1509073931224879
971_2,971,Stéphan VIENNET,H,0.15044874063113198
54_2,54,Grégoire EURY,H,0.15023279485777835
46_2,46,Virginie CASTAGNOL,F,0.14960600445467648
95_4,95,Olivia NALPAS,F,0.14912507097506839
94_4,94,Jérôme AUVRAY,H,0.1484493093562679
56_5,56,Christian MOUTON,H,0.148421205801038
95_8,95,Tifanny ALLEAU,F,0.14836223506743737
22_5,22,Annick Lebiez,F,0.14518504553970144
93_10,93,Maurice Puisard,H,0.14462386930999185
49_5,49,Lucie PINEAU,F,0.14452068032470042
22_1,22,Pierre-Yves LOPIN,H,0.14312065524124165
93_3,93,Patrice VELLA,H,0.1413504384073595
64_1,64,Claudie Cheyroux,F,0.14061303397650224
78_10,78,François LE HOT,H,0.140561592722717
79_1,79,Martine GENDRY,F,0.1398428859079436
69_12,69,Muriel Coativy,F,0.13881698782475313
59_9,59,Valérie TALPAERT,F,0.1382690515031461
86_2,86,Pascale Bordin,H,0.13466857570531385
64_5,64,Jean-Michel Iratchet,H,0.1341028568207123
95_6,95,Jean-Michel DUBOIS,H,0.13330663834676787
69_5,69,Cécile BÈNE,F,0.13229758600142427
49_1,49,Marie BARON,F,0.13166125435852924
69_6,69,Stéphane PONCET,H,0.13102684935182546
94_9,94,François PARADOL,H,0.12975294835298903
91_8,91,Benjamin BOUCHER,H,0.1296022093932487
56_1,56,Bertrand IRAGNE,H,0.12921458254193
971_3,971,Jean-Pierre MERCADAL,H,0.12778406946017365
91_6,91,Nathalie PAULIN,F,0.12776630274417233
63_3,63,Anne-Marie CARTA,F,0.12663466789296698
78_12,78,Jean-Luc GALLAIS,H,0.1250476000507734
94_7,94,Karine HACCART,F,0.12137823022709475
78_11,78,Mathilde ANDROUËT,F,0.12091767881241565
94_2,94,Gaétan Marzo,H,0.12074673147837747
76_1,76,Thomas MARCY,H,0.11990796318527411
44_5,44,David BOISDRON,H,0.11972888468342453
64_4,64,Gilles HUSTAIX,H,0.11793892532360813
92_1,92,Tommy ANOU,F,0.11519373289119356
69_1,69,Tiffany JONCOUR,F,0.1147061003632051
64_6,64,Sylviane BUTTIGIEG,F,0.11469292562840114
33_3,33,Bruno PALUTEAU,H,0.1134319081422356
93_2,93,Estelle ARNAL,F,0.11295193718181033
93_9,93,Huguette FATNA,F,0.11250912102865482
94_5,94,Isabelle HUGUENIN-RICHARD,F,0.10734122902401035
94_8,94,Marie-Odile ENON,F,0.10634470464305971
78_2,78,Yasmine BENZELMAT,F,0.10586271236374349
78_6,78,Didier ROUXEL,H,0.10486491976437132
93_6,93,Line VALLÈS,F,0.10471290615456572
94_11,94,Alexandre GABORIT,H,0.10437775626546197
94_10,94,Martine BLANLUETTE,F,0.10311696789196687
94_10,94,Martine BLANLUETTE,F,0.10311696789196687
94_1,94,Thierry Devige,H,0.09998078429633571
78_5,78,Laurence BAUDRILLARD,F,0.09831912635650954
999_10,999,Stéphane Sakoschek,H,0.09818204457726311
999_5,999,Natacha BARRAL,F,0.09790270145861503
67_1,67,Andréa DIDELOT,F,0.09741950506996337
67_1,67,Andréa DIDELOT,F,0.09741950506996337
92_4,92,Laurent Salles,H,0.09551823545186378
92_12,92,Damien YVENAT,H,0.09526873935835042
78_4,78,Marie-Jo RENAUDIN,F,0.09311407057066401
31_4,31,Maïthé CARSALADE,F,0.09152661474497863
78_3,78,Stéphanie de GONNEVILLE,F,0.09058541393870735
69_3,69,Pierre DELACROIX,H,0.09007727432384967
78_1,78,Thierry PEREZ,H,0.08954458173929614
93_7,93,Sébastien JOLIVET,H,0.08813916327716444
92_11,92,Julia CARRASCO,F,0.08664469156373383
69_4,69,Edith GODECKE,F,0.08362124220301093
999_6,999,Jean-Claude Marchand,H,0.08079242817860019
91_5,91,Milvia Mangano,F,0.0791644349223353
92_5,92,Geoffroy RONDEPIERRE,H,0.07346889162860963
92_3,92,Floriane DENIAU,F,0.07277081236081877
92_7,92,Lucia LAPORTE,F,0.07250345820117648
999_8,999,Nathalie Jorge-Laick,F,0.07227861393069654
92_13,92,Michel GEORGET,H,0.07162169618716548
94_6,94,Gorete DE FREITAS,F,0.07084671955174567
999_2,999,Jean-Marc Millet,H,0.06968352067692563
69_2,69,David TABELION,H,0.06900020116676725
92_2,92,Aurélie LE GOURLAY,F,0.06885352976395667
999_11,999,Sébastien Cochard,H,0.06799528725762326
92_8,92,Marc THOMAS,H,0.06712266461409279
75_10,75,Tiphaine LEOST,F,0.06670444574436969
75_9,75,Corinne BERTHAUD,F,0.066609105462918
92_10,92,Anne-Laure MALEYRE,F,0.06637451069072535
999_4,999,Soraya LEMAIRE,F,0.06614022140221403
92_6,92,Emmanuelle CUIGNET,F,0.06466093600764088
75_8,75,Annie VIGUIER,F,0.06233808529851519
75_15,75,Christophe VERSINI,H,0.06171267978178211
75_17,75,Vanessa LANCELOT,F,0.06110035311538899
999_1,999,Denis FRANCESKIN,H,0.05994168512470123
75_13,75,Wallerand de SAINT-JUST,H,0.05851743072404546
75_16,75,Michel BULTÉ,H,0.05705137534565565
75_3,75,Aurélien Legrand,H,0.052931061989257795
92_9,92,Nina SMARANDI,F,0.048827980120169125
75_18,75,Michelle THIMOTTE,F,0.04730241107146719
75_6,75,Guy DEBALLE,H,0.04559217236104029
75_12,75,Agnès VANDENBROUCK,F,0.045106099322297526
75_14,75,Armelle GOASGUEN,F,0.04162866449511401
75_4,75,Eve FROGER,F,0.04149272398465361
75_7,75,Isabelle COCHARD,F,0.04137189516003366
75_11,75,Elisabeth BASTON,F,0.041371099756932386
999_7,999,Jean-Pierre Hottinger,H,0.040730624152219556
75_5,75,Marie FONTAINE,F,0.03844998498047462
75_2,75,Manon BOUQUIN,F,0.03819871753351901
999_3,999,Tony Thommes,H,0.03147645705258097
